County,Biden(DEM),Trump(REP),Trump(CON),Biden(WOR),Hawkins(GRE),JoJo(LBT),Pierce(IND) ,Blank,Void,Total
Albany,91260,46066,5015,8214,779,1523,595,487,654,154593
Allegany,5754,13123,1012,294,88,338,92,109,70,20880
Bronx,337789,62178,5562,17585,1420,775,406,5706,810,432231
Broome,43974,40762,3038,3036,432,1104,372,366,334,93418
Cattaraugus,11310,20291,1864,569,113,450,154,164,94,35009
Cayuga,15410,17576,1936,739,185,399,162,258,81,36746
Chautauqua,21933,31135,3718,1154,203,756,272,369,206,59746
Chemung,15969,20373,1549,667,117,560,162,254,47,39698
Chenango,7900,12602,880,390,107,316,80,71,64,22410
Clinton,17316,15313,1201,1048,121,279,153,97,103,35631
Columbia,18179,13065,1399,2207,185,357,115,142,117,35766
Cortland,9791,10001,788,578,113,295,96,172,42,21876
Delaware,8567,12655,732,576,81,268,79,49,54,23061
Dutchess,75907,59952,6920,5536,578,1247,513,610,534,151797
Erie,252478,172331,25196,14696,1986,4439,1895,1587,2179,476787
Essex,9327,8394,582,620,73,173,90,134,65,19458
Franklin,8767,9092,576,486,77,173,93,94,58,19416
Fulton,7551,14145,1233,380,73,248,87,308,46,24071
Genesee,9107,16868,2008,518,109,456,138,136,78,29418
Greene,9363,12794,1477,983,121,305,91,99,84,25317
Hamilton,1131,2056,169,47,7,41,8,27,2,3488
Herkimer,9462,17571,1299,475,98,298,111,167,74,29555
Jefferson,16679,24019,1610,628,186,537,189,152,122,44122
Kings,608794,187307,15465,94516,3978,2504,682,4371,2319,919936
Lewis,3677,8333,561,147,46,126,47,53,39,13029
Livingston,11704,16195,1987,773,128,460,140,164,91,31642
Madison,14020,16810,1598,787,185,476,153,148,80,34257
Monroe,213606,127191,18470,12140,1529,4865,1785,2228,1407,383221
Montgomery ,7636,11570,1175,341,87,242,79,64,48,21242
Nassau,380907,305144,21572,15597,1924,3594,1901,4916,2470,738025
New York,540748,79032,6153,62292,2694,3329,656,3592,2550,701046
Niagara,43717,49287,6781,2312,371,1133,479,457,286,104823
Oneida,39271,52615,4565,2296,388,1184,396,715,235,101665
Onondaga,132630,79983,10636,6264,1820,2554,848,900,51,235686
Ontario,27646,25906,3133,1379,277,987,318,314,97,60057
Orange,80504,73008,11988,4180,524,1388,507,732,377,173208
Orleans,5326,10972,1154,261,50,313,71,123,37,18307
Oswego,20015,29321,2817,1128,284,697,207,205,156,54830
Otsego,12307,13448,934,668,136,409,96,143,70,28211
Putnam,23233,26465,2818,1720,162,411,155,198,131,55293
Queens,523152,197599,15066,45886,2969,2483,705,4517,1719,794096
Rensselaer,37558,32143,4357,3411,374,1016,386,553,123,79921
Richmond,85197,114608,8712,5800,662,909,265,1132,489,217774
Rockland,71656,64510,8676,4146,323,650,334,523,489,151307
St. Lawrence,18477,22637,1971,884,201,437,172,360,107,45246
Saratoga,64454,55382,5923,4017,511,1737,580,505,396,133505
Schenectady,39930,26737,4004,2535,352,923,345,237,282,75345
Schoharie,4998,9021,882,347,75,282,77,85,40,15807
Schuyler,3622,5192,429,281,51,130,33,24,35,9797
Seneca,6548,7602,727,366,73,193,92,75,35,15711
Steuben,15009,27388,2086,781,164,570,167,217,120,46502
Suffolk,351643,340940,34881,16357,2066,4458,2476,2921,2135,757877
Sullivan,14424,16992,1673,1065,123,247,112,391,94,35121
Tioga,9131,13870,921,503,92,416,97,60,74,25170
Tompkins,28979,10240,856,4640,365,474,137,162,151,46004
Ulster,50497,33891,3699,7473,618,879,344,360,380,98141
Warren,16606,16271,1428,1036,204,424,162,137,108,36376
Washington,10882,14544,1397,683,128,340,119,99,56,28248
Wayne,16603,23065,3139,853,184,656,214,202,102,45018
Westchester,296129,133397,11316,16242,1280,2569,1145,,,462078
Wyoming,4801,12552,1346,272,63,267,93,45,39,19478
Yates,4014,5611,597,205,40,165,59,55,32,10778